revision,name,date,time,number of lines,comment,added,modified,deleted,changes
r1544422,Jimmy,12/11/2015,15:48:11,1,FRT only,0,1,0,1
r1544421,Jimmy,12/11/2015,15:47:49,1,Fixed unit test,0,0,1,1
r1544404,Jimmy,12/11/2015,15:31:13,1,Fixed unit test,0,1,0,1
r1544362,Jimmy,12/11/2015,14:37:08,1,Modified test,0,1,0,1
r1544360,Jimmy,12/11/2015,14:31:35,1,Modified test,0,1,0,1
r1544350,Jimmy,12/11/2015,14:27:36,1,Modified app Target version,0,1,0,1
r1544342,Jimmy,12/11/2015,14:16:04,1,FTRPC-119,0,1,0,1
r1544339,Jimmy,12/11/2015,14:11:02,1,FTRPC-119,0,10,0,10
r1544282,Thomas,12/11/2015,11:44:34,3,Merged from android-15.2-solutions-att-m,0,3,0,3
r1544253,Thomas,12/11/2015,10:32:06,2,Merged from android-15.2-solutions-att-m,0,2,0,2
r1544250,Thomas,12/11/2015,10:27:58,5,Merged from android-15.2-solutions-att-m,0,2,0,2
r1541334,Vincent,05/11/2015,16:31:34,5,FTRPC-337 : Frontier - Sim Contacts Import - DisabledFTRPC-,0,3,0,3
r1540927,Vincent,04/11/2015,20:47:04,4,FTRPC-304 : Frontier - Default Backups Settings to be ON,0,7,0,7
r1540926,Vincent,04/11/2015,20:34:30,5,FTRPC-332 : Content anywhere crashes,0,1,0,1
r1540834,Vincent,04/11/2015,16:37:55,3,FTRPC-309 : Frontier - Report Abuse is ON,1,1,0,2
r1540809,Vincent,04/11/2015,16:15:14,3,FTRPC-303: Frontier - Invitation is ON,0,1,0,1
r1540172,Jimmy,03/11/2015,14:59:39,1,Enabled all clients,0,1,0,1
r1540168,/OU=Domain Control Validated/CN=svn.company.net,03/11/2015,14:50:34,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1540148,Jimmy,03/11/2015,14:35:14,1,Frontier,0,1,0,1
r1539956,Jimmy,03/11/2015,10:32:49,1,Added carriage return,0,1,0,1
r1539933,Thomas,03/11/2015,09:59:13,1,Return imports,0,1,0,1
